age,city_type,occupation,income,rent,groceries,transport,entertainment,utilities,miscellaneous
56,Tier_1,Student,2259.075415240277,780.941803730732,441.2356804033947,220.61821109159706,261.58314999347897,121.62223540916844,215.30176109052093
38,Tier_1,Retired,4434.0480348687715,1333.1703898592332,848.8725204158804,419.8237640600059,438.1958833091324,226.62594432878345,409.3523564942162
61,Tier_3,Retired,2227.808637737409,675.7560204254978,394.27785887224803,231.15069667825404,209.39978315813693,108.14124261005306,209.37599189265725
24,Tier_1,Retired,5481.82254760715,1779.8181216497492,962.515544571147,559.6317864054287,440.75661605115255,237.68672622901417,558.9738383760867
35,Tier_2,Retired,3443.079947997246,1050.625025179812,680.6522639572237,333.94075383421114,293.40130062265393,159.76159160183343,328.4478336441072
62,Tier_1,Professional,9691.395561950265,3076.666136660841,2110.349542018678,1055.8128399442735,1042.309379210025,474.5311451577785,908.715895607691
58,Tier_3,Professional,3491.846710452517,1162.7479733873536,685.9570756304897,334.85471498064294,390.37855742035384,158.91031332917262,378.3344474306577
18,Tier_3,Professional,5296.561384328971,1440.5964491398088,1142.3844129458435,497.0888663980004,547.2879908871842,228.2628068492185,514.7830608311249
49,Tier_3,Professional,5091.760776535502,1223.9214697598688,995.9818212631295,527.3593954978626,584.4269069424529,241.39349898151386,468.0095175006362
19,Tier_2,Professional,5397.891547698556,1520.5339025451615,1045.445725098511,459.76950164762434,527.4362140336717,295.8757437987029,528.4701844456681
45,Tier_1,Student,1896.7260805854642,595.247020308439,328.1567530148614,170.3435887583215,192.08168232824693,82.98704155298113,226.5661232160575
59,Tier_3,Student,969.3327084967719,297.05022969913784,154.6606214667926,87.79191274549828,110.54230211730045,48.37672591692829,80.71144317052071
66,Tier_1,Professional,7896.995118718453,2450.8092973040207,1566.7500378166953,770.6377346583458,902.9041599292035,436.9325945057962,592.3726244281053
23,Tier_3,Retired,3240.164280586082,951.215888122771,603.3708068545569,347.59941664608795,303.957563772334,167.77829583234043,323.3074517840036
39,Tier_3,Student,801.8927349738624,226.94451943613905,161.97674110865262,76.1519388046663,67.75461609977049,40.369537505618865,71.67073719365906
50,Tier_3,Self_Employed,4378.8739445081455,1376.977960159731,956.9115010913575,401.2107611228509,467.540518632429,259.93694421860823,455.2441096351168
24,Tier_2,Retired,3818.331914650263,1436.3605554757162,738.8860993241827,373.9725169045259,326.8476292839242,213.64955515082642,431.4484747220361
20,Tier_2,Retired,2479.712306370268,807.4437565346117,584.6464252562179,262.02857267441755,243.89209312708152,122.2127334160452,199.9994554238159
52,Tier_1,Professional,5871.881495176344,1757.1098703334617,1332.11479044916,544.0563819871129,530.8242742413469,326.0341125558952,624.4299881089289
39,Tier_3,Self_Employed,6448.8761715026085,2104.65655867452,1258.8729280062428,722.8791628803199,679.5799916405686,410.61355809714036,650.9344336324367
50,Tier_1,Retired,3229.5874991470987,1063.5528991954031,648.6290656579351,318.52543646986675,318.94978580099513,173.4343522111167,308.3460862205445
38,Tier_3,Professional,5777.049794903608,1572.6204155234768,1096.1414353199311,618.7283439043982,583.0475299496327,307.05236121927476,679.5507551183333
